Gene,A11,A12,A13,A21,A22,A24,B11,B12,B22,B23
Rnu5g,0,0,0,0,0,0,0,4,0,0
Parp16,1599,1792,1546,1319,2330,1250,1617,1805,1905,1418
Cilp,458,524,643,348,638,231,340,1844,4661,2189
Clpx,5226,5217,3917,3287,5356,3776,3920,3836,4423,3660
Pdcd7,1522,1693,1442,1431,2418,1222,1689,1764,2055,1656
Ubap1l,25,41,65,46,44,35,26,74,46,87
Kbtbd13,134,162,162,158,200,188,205,162,210,139
Rasl12,300,425,421,337,1016,310,216,385,1061,657
Slc51b,1191,1574,1211,901,1294,790,1073,1006,1032,831
Mtfmt,1679,1704,1524,1277,1883,1408,1574,1645,1888,1507
Spg21,2977,3378,2200,2253,3900,2337,2500,2956,3408,2778
Ankdd1a,0,5,0,0,0,4,0,2,0,0
Plekho2,1111,1337,944,1699,2128,1391,630,1460,3751,2454
Pif1,1482,1508,911,896,1168,1126,1188,1094,1020,796
Rbpms2,183,282,308,222,61,131,313,334,845,974
Oaz2,3483,4560,3513,3631,4812,3681,3881,4414,5616,5175
Zfp609,4665,4857,3414,3255,4234,4305,3493,3719,4147,3470
Trip4,2611,3103,1929,1790,2863,1889,2205,2353,2885,2256
Pclaf,5182,5758,3751,3563,4885,4435,4815,4193,4092,3138
Csnk1g1,4030,3855,2575,2536,3888,3056,3272,3519,3888,2911
Ppib,6167,6322,5130,4072,6996,4365,5659,5793,7063,5498
Snx22,245,294,328,269,444,253,237,322,667,421
Snx1,11702,11701,9019,7779,12563,7969,9304,9932,10846,8746
Ciao2a,7828,8433,6044,5193,10106,5474,7195,7049,7182,5888
Dapk2,4363,3694,2644,2530,3411,2983,3368,3949,3987,3535
Herc1,5952,6049,4066,4232,5873,4742,5260,5623,7272,4923
Fbxl22,334,404,371,213,467,269,462,581,1567,913
Usp3,7336,7794,5764,4690,8527,5095,6323,5943,7912,6271
Car12,8824,10812,10003,6226,8844,8297,9339,8753,7715,7757
Aph1b,1281,1259,966,865,1105,1060,1027,1212,1108,1167
Aph1c,119,79,86,104,22,94,65,145,116,150
