Gene,G11,G14,G15,G22,G24,G26,G27
Sdhaf1,347,431,614,430,390,411,545
Lrfn3,296,314,476,213,238,145,293
Tyrobp,138,172,444,117,130,90,100
Hcst,42,40,62,45,34,49,26
Nfkbid,103,140,259,140,97,124,135
Aplp1,950,740,1065,720,749,596,1070
Kirrel2,2,0,2,3,1,0,3
Nphs1,1,3,0,0,0,0,0
Nphs1os,0,0,0,0,0,0,0
Prodh2,0,0,0,0,0,0,0
Arhgap33os,0,0,0,0,0,0,0
Arhgap33,247,230,480,211,182,227,200
Proser3,188,187,326,140,148,127,117
Hspb6,180,236,357,72,68,72,129
Gm38670,0,0,0,0,0,0,0
Lin37,303,336,530,316,234,302,304
Psenen,1154,1314,2162,1336,1072,1090,1338
U2af1l4,384,516,816,474,466,448,485
Igflr1,270,270,478,239,179,243,305
Kmt2b,1852,2485,4011,2332,2124,2414,2457
Mir3569,0,0,0,1,0,0,0
Zbtb32,190,97,176,169,146,184,122
Upk1a,243,239,354,268,228,247,308
Cox6b1,4207,4783,7862,4608,4024,3788,4879
Etv2,0,0,0,0,0,0,0
Rbm42,1259,1523,2915,1310,1346,1234,1517
Haus5,184,185,373,142,155,148,189
Pmis2,0,0,0,0,0,0,0
2200002J24Rik,3,8,5,5,6,8,0
Atp4a,17,9,10,5,4,9,4
Tmem147,909,1158,2035,1018,946,870,1152
Gapdhs,74,105,144,64,68,100,61
Sbsn,46,43,95,24,24,56,36
Dmkn,26,40,91,15,11,6,13
Krtdap,6,0,3,0,0,0,0
Ffar2,739,787,682,599,441,496,447
Ffar3,34,39,29,20,26,13,24
Ffar1,5,1,7,6,9,11,2
Cd22,228,137,430,51,56,216,82
Mag,11,4,9,9,4,5,9
Hamp2,8,5,11,4,0,18,6
Hamp,1,0,0,0,2,1,0
Usf2,1062,1383,2382,1248,1052,1405,1405
Lsr,2593,3317,6597,3179,2507,2807,2866
Fam187b,50,55,125,75,53,76,80
Fxyd5,262,217,502,158,136,139,138
Mir7050,0,0,4,0,1,0,0
Fxyd7,9,10,13,6,2,4,4
Fxyd1,106,247,354,116,73,124,118
Lgi4,83,184,167,54,39,53,34
Fxyd3,720,730,890,633,563,562,633
Hpn,94,187,458,179,143,271,191
Scn1b,127,143,422,95,92,92,95
Gramd1a,445,707,1348,405,326,401,341
Gm10640,0,0,1,0,0,1,0
